locality,price,et_type,size,company_name
Jižní Předměstí,2328000,2+1,32,Idea Reality
Severní Předměstí,1773000,1+kk,25,
Křimice,3843000,3+kk,59,
Plzeň,1617000,4+1,73,"JURIS REAL Dražby, a.s."
Jižní Předměstí,4661000,3+kk,67,ERA Estate A. Legal
Východní Předměstí,3991000,3+kk,66,
Skvrňany,2778000,2+1,51,Pro Západ reality
Plzeň 4,3423000,2+kk,45,"OTTE Reality, s.r.o."
Bolevec,3832000,3+1,55,Bidli
Skvrňany,2525000,2+1,49,
Jižní Předměstí,3856000,2+1,60,
Křimice,4412000,3+kk,77,
Křimice,4411000,3+kk,78,
Lobzy,3015000,3+1,54,
Východní Předměstí,2688000,1+kk,30,
Jižní Předměstí,0,1+kk,34,
Východní Předměstí,2361000,2+kk,35,
Lobzy,5139000,4+kk,98,RE/MAX Optimal
Severní Předměstí,3390000,3+1,63,Bidli
Bolevec,2124000,1+1,32,
Lobzy,2288000,1+1,28,
Skvrňany,3350000,3+1,61,REALITNÍ APLIKACE.CZ
Křimice,2788000,2+kk,35,
Plzeň,5311000,3+kk,62,
Lobzy,2060000,1+1,22,MAXIMA REALITY
Jižní Předměstí,2621000,1+kk,32,ERA Estate A. Legal
Jižní Předměstí,2982000,2+1,38,T2 REALITY
Jižní Předměstí,2941000,2+1,59,
Severní Předměstí,7346000,2+1,86,
Jižní Předměstí,3260000,3+1,54,
Východní Předměstí,2777000,1+kk,44,
Severní Předměstí,4486000,2+kk,65,
Jižní Předměstí,2083000,1+1,24,MAXIMA REALITY
Kyšice,6496000,5+kk,111,
Kyšice,6496000,4+kk,118,
Východní Předměstí,2860000,2+1,45,
Jižní Předměstí,3587000,2+kk,40,Bidli
Chválenice,0,4+1,57,
Skvrňany,2770000,2+1,52,
Doubravka,2778000,2+1,45,
Kyšice,6496000,5+kk,111,
Východní Předměstí,1716000,1+kk,27,
Kyšice,6496000,4+kk,118,
Skvrňany,3513000,4+1,67,
Plzeň,3260000,2+1,62,
Křimice,2802000,2+kk,35,
